renewable energy generation percentage,non-renewable energy generation percentage,date
0.4548658925822417,0.5451341074177583,2017-04-01
0.3759543957726185,0.6240456042273814,2017-04-02
0.4434320039981623,0.5565679960018377,2017-04-03
0.49981506539367876,0.5001849346063212,2017-04-04
0.5046884764285903,0.49531152357140973,2017-04-05
0.401832345704038,0.598167654295962,2017-04-06
0.38893659137274716,0.6110634086272528,2017-04-07
0.40404694262751684,0.5959530573724832,2017-04-08
0.3811639038785437,0.6188360961214563,2017-04-09
0.3988279196737784,0.6011720803262216,2017-04-10
0.34235142546324054,0.6576485745367595,2017-04-11
0.3273743219643773,0.6726256780356227,2017-04-12
0.33999382809626777,0.6600061719037322,2017-04-13
0.404952195094769,0.595047804905231,2017-04-14
0.3876307706813379,0.6123692293186621,2017-04-15
0.3327949512912489,0.6672050487087511,2017-04-16
0.4612911779511735,0.5387088220488265,2017-04-17
0.5471248789329881,0.4528751210670119,2017-04-18
0.5073886072783749,0.49261139272162513,2017-04-19
0.46224681951162266,0.5377531804883773,2017-04-20
0.3738559676140418,0.6261440323859582,2017-04-21
0.30204004849237226,0.6979599515076278,2017-04-22
0.30068357381950805,0.699316426180492,2017-04-23
0.3643049124136627,0.6356950875863373,2017-04-24
0.4365558326668716,0.5634441673331284,2017-04-25
0.4402529327642335,0.5597470672357665,2017-04-26
0.4262653236522017,0.5737346763477983,2017-04-27
0.39035404004055047,0.6096459599594495,2017-04-28
0.5244831313526981,0.4755168686473019,2017-04-29
0.3986020125649995,0.6013979874350005,2017-04-30
0.2997109581904617,0.7002890418095383,2017-05-01
0.3322643458906317,0.6677356541093683,2017-05-02
0.3314666012025336,0.6685333987974664,2017-05-03
0.45861345752569244,0.5413865424743076,2017-05-04
0.4497126562822424,0.5502873437177576,2017-05-05
0.35144348571014633,0.6485565142898537,2017-05-06
0.3745230763510399,0.6254769236489601,2017-05-07
0.3606279244109458,0.6393720755890542,2017-05-08
0.3706168674341278,0.6293831325658722,2017-05-09
0.5303838008657452,0.4696161991342548,2017-05-10
0.4932075795081571,0.5067924204918429,2017-05-11
0.44402243280257253,0.5559775671974274,2017-05-12
0.3795264216541264,0.6204735783458736,2017-05-13
0.3281692740390601,0.67183072596094,2017-05-14
0.3224121513306252,0.6775878486693748,2017-05-15
0.35670217448820946,0.6432978255117905,2017-05-16
0.43959254638864975,0.5604074536113502,2017-05-17
0.37180053744786573,0.6281994625521343,2017-05-18
0.3643540437250483,0.6356459562749517,2017-05-19
0.4276257573529504,0.5723742426470496,2017-05-20
0.35005554003872036,0.6499444599612796,2017-05-21
0.4105052820680322,0.5894947179319678,2017-05-22
0.3628861471350621,0.6371138528649378,2017-05-23
0.3205743328438018,0.6794256671561982,2017-05-24
0.3067708178843633,0.6932291821156367,2017-05-25
0.39996659119377326,0.6000334088062267,2017-05-26
0.41650732417099523,0.5834926758290048,2017-05-27
0.30350106649925596,0.6964989335007441,2017-05-28
0.28325789513132904,0.716742104868671,2017-05-29
0.30116834405322673,0.6988316559467733,2017-05-30
0.29722949467568577,0.7027705053243143,2017-05-31
0.30219230085687937,0.6978076991431206,2017-06-01
0.3622946386678216,0.6377053613321784,2017-06-02
0.3974090500977758,0.6025909499022242,2017-06-03
0.4133814291532793,0.5866185708467206,2017-06-04
0.3497847846016159,0.6502152153983841,2017-06-05
0.3075922561772535,0.6924077438227465,2017-06-06
0.3551532576377091,0.6448467423622909,2017-06-07
0.2593058120221053,0.7406941879778948,2017-06-08
0.2921017363203068,0.7078982636796932,2017-06-09
0.35858774077691963,0.6414122592230804,2017-06-10
0.38100045323487886,0.6189995467651211,2017-06-11
0.3266680551204804,0.6733319448795196,2017-06-12
0.26199206157907956,0.7380079384209204,2017-06-13
0.27573696495834654,0.7242630350416535,2017-06-14
0.32046498748155966,0.6795350125184403,2017-06-15
0.3284659319012947,0.6715340680987053,2017-06-16
0.3158881433117103,0.6841118566882898,2017-06-17
0.31133962335430126,0.6886603766456987,2017-06-18
0.25626262594713084,0.7437373740528692,2017-06-19
0.21563482662910907,0.784365173370891,2017-06-20
0.21266044638945486,0.7873395536105452,2017-06-21
0.24462841601570398,0.755371583984296,2017-06-22
0.2694532468091308,0.7305467531908691,2017-06-23
0.2716037313378897,0.7283962686621104,2017-06-24
0.2693836973813114,0.7306163026186886,2017-06-25
0.3759439787025141,0.6240560212974859,2017-06-26
0.5451560689496681,0.45484393105033194,2017-06-27
0.49133941101203205,0.508660588987968,2017-06-28
0.43507023774849396,0.564929762251506,2017-06-29
0.39193972311651676,0.6080602768834833,2017-06-30
0.44375653611376864,0.5562434638862314,2017-07-01
0.3488315045338865,0.6511684954661134,2017-07-02
0.3321237102668545,0.6678762897331455,2017-07-03
0.30516902171911353,0.6948309782808865,2017-07-04
0.27457564976241233,0.7254243502375877,2017-07-05
0.2822761326184933,0.7177238673815067,2017-07-06
0.29564715546996384,0.7043528445300362,2017-07-07
0.2706484354879484,0.7293515645120516,2017-07-08
0.273211257916785,0.726788742083215,2017-07-09
0.22499452218224675,0.7750054778177533,2017-07-10
0.23405728763224137,0.7659427123677587,2017-07-11
0.25345654466110934,0.7465434553388907,2017-07-12
0.33283103652444146,0.6671689634755585,2017-07-13
0.3790263518679505,0.6209736481320496,2017-07-14
0.36245503597372297,0.637544964026277,2017-07-15
0.3236687846227862,0.6763312153772139,2017-07-16
0.35575030100891497,0.6442496989910851,2017-07-17
0.31523175768084233,0.6847682423191577,2017-07-18
0.2818521203938019,0.7181478796061981,2017-07-19
0.27287558542537715,0.7271244145746228,2017-07-20
0.2923080493528009,0.707691950647199,2017-07-21
0.3145494433335167,0.6854505566664832,2017-07-22
0.3652629565747097,0.6347370434252904,2017-07-23
0.37795712317054214,0.6220428768294579,2017-07-24
0.2706093925272197,0.7293906074727803,2017-07-25
0.24317748449144427,0.7568225155085557,2017-07-26
0.24441963214055826,0.7555803678594417,2017-07-27
0.3260219407192792,0.6739780592807207,2017-07-28
0.3187171398119956,0.6812828601880043,2017-07-29
0.2872956085499568,0.7127043914500433,2017-07-30
0.21381248629058883,0.7861875137094112,2017-07-31
0.2409041346948449,0.7590958653051552,2017-08-01
0.23664223087591657,0.7633577691240834,2017-08-02
0.2441247251122057,0.7558752748877943,2017-08-03
0.353454491338975,0.646545508661025,2017-08-04
0.4396106203476388,0.5603893796523611,2017-08-05
0.32751874754104576,0.6724812524589543,2017-08-06
0.3582219622619438,0.6417780377380562,2017-08-07
0.37803928330312747,0.6219607166968726,2017-08-08
0.43303362593923567,0.5669663740607643,2017-08-09
0.38952228264045524,0.6104777173595448,2017-08-10
0.3639175966028585,0.6360824033971415,2017-08-11
0.3810282269759135,0.6189717730240865,2017-08-12
0.37275648769696973,0.6272435123030302,2017-08-13
0.3000883991679112,0.6999116008320888,2017-08-14
0.24461208155050673,0.7553879184494933,2017-08-15
0.2551408918778469,0.7448591081221532,2017-08-16
0.30055386484586377,0.6994461351541362,2017-08-17
0.3966307083402535,0.6033692916597465,2017-08-18
0.42863356017406684,0.5713664398259332,2017-08-19
0.2999121923210338,0.7000878076789663,2017-08-20
0.2742010372758948,0.7257989627241053,2017-08-21
0.2547089974579011,0.7452910025420989,2017-08-22
0.2924951288934865,0.7075048711065135,2017-08-23
0.25901222266099044,0.7409877773390096,2017-08-24
0.2806267656742022,0.7193732343257978,2017-08-25
0.3008407310081179,0.6991592689918821,2017-08-26
0.23762572295614953,0.7623742770438504,2017-08-27
0.19881226690976966,0.8011877330902304,2017-08-28
0.2183398787102851,0.781660121289715,2017-08-29
0.30022729860283404,0.699772701397166,2017-08-30
0.3779670636108817,0.6220329363891183,2017-08-31
0.3894166807800285,0.6105833192199714,2017-09-01
0.2962180976448763,0.7037819023551237,2017-09-02
0.2614791035103134,0.7385208964896866,2017-09-03
0.24427469554653472,0.7557253044534653,2017-09-04
0.36130208800072966,0.6386979119992704,2017-09-05
0.31939597373266565,0.6806040262673343,2017-09-06
0.2594142484341712,0.7405857515658287,2017-09-07
0.45316198770241345,0.5468380122975866,2017-09-08
0.4604597341361446,0.5395402658638554,2017-09-09
0.40768275461382597,0.592317245386174,2017-09-10
0.301601691769892,0.698398308230108,2017-09-11
0.28970528327096445,0.7102947167290355,2017-09-12
0.3518908223669439,0.6481091776330561,2017-09-13
0.3821209438995211,0.6178790561004789,2017-09-14
0.32496271471575444,0.6750372852842456,2017-09-15
0.281994466596797,0.718005533403203,2017-09-16
0.3409676592557751,0.6590323407442249,2017-09-17
0.28218771664295467,0.7178122833570453,2017-09-18
0.21765726254486856,0.7823427374551315,2017-09-19
